STATE,STATE_AB,COUNTY,TVDMA,STATEFP,COUNTYFP,COUNTY_PROPER,,,
COLORADO,CO,EL PASO," Colorado Springs - Pueblo, CO DMA",08,041,El Paso,,,
COLORADO,CO,FREMONT," Colorado Springs - Pueblo, CO DMA",08,043,Fremont,,,
COLORADO,CO,GARFIELD," Denver, CO - NE - NV - WY DMA",08,045,Garfield,,,
COLORADO,CO,GILPIN," Denver, CO - NE - NV - WY DMA",08,047,Gilpin,,,
COLORADO,CO,GRAND," Denver, CO - NE - NV - WY DMA",08,049,Grand,,,
COLORADO,CO,GUNNISON," Denver, CO - NE - NV - WY DMA",08,051,Gunnison,,,
COLORADO,CO,HINSDALE," Denver, CO - NE - NV - WY DMA",08,053,Hinsdale,,,
COLORADO,CO,HUERFANO," Colorado Springs - Pueblo, CO DMA",08,055,Huerfano,,,
COLORADO,CO,JACKSON," Denver, CO - NE - NV - WY DMA",08,057,Jackson,,,
COLORADO,CO,JEFFERSON," Denver, CO - NE - NV - WY DMA",08,059,Jefferson,,,
COLORADO,CO,KIOWA," Colorado Springs - Pueblo, CO DMA",08,061,Kiowa,,,
COLORADO,CO,KIT CARSON," Denver, CO - NE - NV - WY DMA",08,063,Kit Carson,,,
COLORADO,CO,LAKE," Denver, CO - NE - NV - WY DMA",08,065,Lake,,,
COLORADO,CO,LA PLATA," Albuquerque - Santa Fe, NM - AZ - CO DMA",08,067,La Plata,,,
COLORADO,CO,LARIMER," Denver, CO - NE - NV - WY DMA",08,069,Larimer,,,
COLORADO,CO,LAS ANIMAS," Colorado Springs - Pueblo, CO DMA",08,071,Las Animas,,,
COLORADO,CO,LINCOLN," Denver, CO - NE - NV - WY DMA",08,073,Lincoln,,,
COLORADO,CO,LOGAN," Denver, CO - NE - NV - WY DMA",08,075,Logan,,,
COLORADO,CO,MESA," Grand Junction - Montrose, CO DMA",08,077,Mesa,,,
COLORADO,CO,MINERAL," Denver, CO - NE - NV - WY DMA",08,079,Mineral,,,
COLORADO,CO,MOFFAT," Denver, CO - NE - NV - WY DMA",08,081,Moffat,,,
COLORADO,CO,MONTEZUMA," Albuquerque - Santa Fe, NM - AZ - CO DMA",08,083,Montezuma,,,
